frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"239","04:54:27.128122","1514","469190","10.1.1.2","5201","0.035729000","1448","1","5200","0.037759000"
"240","04:54:27.128375","66","1","10.1.1.1","5200","0.035982000","0","379414","5201","0.038012000"
"241","04:54:27.128575","66","1","10.1.1.1","5200","0.036182000","0","382310","5201","0.038212000"
"242","04:54:27.128844","66","1","10.1.1.1","5200","0.036451000","0","385206","5201","0.038481000"
"243","04:54:27.129113","66","1","10.1.1.1","5200","0.036720000","0","388102","5201","0.038750000"
"244","04:54:27.129120","11650","470638","10.1.1.2","5201","0.036727000","11584","1","5200","0.038757000"
"245","04:54:27.129321","66","1","10.1.1.1","5200","0.036928000","0","390998","5201","0.038958000"
"246","04:54:27.129594","66","1","10.1.1.1","5200","0.037201000","0","393894","5201","0.039231000"
"247","04:54:27.129853","66","1","10.1.1.1","5200","0.037460000","0","396790","5201","0.039490000"
"248","04:54:27.130053","66","1","10.1.1.1","5200","0.037660000","0","399686","5201","0.039690000"
"249","04:54:27.130061","11650","482222","10.1.1.2","5201","0.037668000","11584","1","5200","0.039698000"
"250","04:54:27.130338","66","1","10.1.1.1","5200","0.037945000","0","402582","5201","0.039975000"
"251","04:54:27.130587","66","1","10.1.1.1","5200","0.038194000","0","405478","5201","0.040224000"
"252","04:54:27.130804","66","1","10.1.1.1","5200","0.038411000","0","408374","5201","0.040441000"
"253","04:54:27.131059","66","1","10.1.1.1","5200","0.038666000","0","411270","5201","0.040696000"
"254","04:54:27.131066","13098","493806","10.1.1.2","5201","0.038673000","13032","1","5200","0.040703000"
"255","04:54:27.131330","66","1","10.1.1.1","5200","0.038937000","0","414166","5201","0.040967000"
"256","04:54:27.131529","66","1","10.1.1.1","5200","0.039136000","0","417062","5201","0.041166000"
"257","04:54:27.131796","66","1","10.1.1.1","5200","0.039403000","0","419958","5201","0.041433000"
"258","04:54:27.132073","66","1","10.1.1.1","5200","0.039680000","0","422854","5201","0.041710000"
"259","04:54:27.132084","11650","506838","10.1.1.2","5201","0.039691000","11584","1","5200","0.041721000"
"260","04:54:27.132270","66","1","10.1.1.1","5200","0.039877000","0","425750","5201","0.041907000"
"261","04:54:27.132541","66","1","10.1.1.1","5200","0.040148000","0","428646","5201","0.042178000"
"262","04:54:27.132805","66","1","10.1.1.1","5200","0.040412000","0","431542","5201","0.042442000"
"263","04:54:27.133014","66","1","10.1.1.1","5200","0.040621000","0","434438","5201","0.042651000"
"264","04:54:27.133274","66","1","10.1.1.1","5200","0.040881000","0","437334","5201","0.042911000"
"265","04:54:27.133281","13098","518422","10.1.1.2","5201","0.040888000","13032","1","5200","0.042918000"
"266","04:54:27.133546","66","1","10.1.1.1","5200","0.041153000","0","440230","5201","0.043183000"
"267","04:54:27.133552","4410","531454","10.1.1.2","5201","0.041159000","4344","1","5200","0.043189000"
"268","04:54:27.133745","66","1","10.1.1.1","5200","0.041352000","0","443126","5201","0.043382000"
"269","04:54:27.134014","66","1","10.1.1.1","5200","0.041621000","0","446022","5201","0.043651000"
"270","04:54:27.134286","66","1","10.1.1.1","5200","0.041893000","0","448918","5201","0.043923000"
"271","04:54:27.134484","66","1","10.1.1.1","5200","0.042091000","0","451814","5201","0.044121000"
"272","04:54:27.134754","66","1","10.1.1.1","5200","0.042361000","0","454710","5201","0.044391000"
"273","04:54:27.134762","13098","535798","10.1.1.2","5201","0.042369000","13032","1","5200","0.044399000"
"274","04:54:27.135023","66","1","10.1.1.1","5200","0.042630000","0","457606","5201","0.044660000"
"275","04:54:27.135220","66","1","10.1.1.1","5200","0.042827000","0","460502","5201","0.044857000"
"276","04:54:27.135521","66","1","10.1.1.1","5200","0.043128000","0","463398","5201","0.045158000"
"277","04:54:27.135761","66","1","10.1.1.1","5200","0.043368000","0","466294","5201","0.045398000"
"278","04:54:27.135767","13098","548830","10.1.1.2","5201","0.043374000","13032","1","5200","0.045404000"
"279","04:54:27.135968","66","1","10.1.1.1","5200","0.043575000","0","469190","5201","0.045605000"
"280","04:54:27.136232","66","1","10.1.1.1","5200","0.043839000","0","472086","5201","0.045869000"
"281","04:54:27.136499","66","1","10.1.1.1","5200","0.044106000","0","474982","5201","0.046136000"
"282","04:54:27.136706","66","1","10.1.1.1","5200","0.044313000","0","477878","5201","0.046343000"
"283","04:54:27.136967","66","1","10.1.1.1","5200","0.044574000","0","480774","5201","0.046604000"
